FoutCode;Veroorzaker;Toelichting;XSD-Klasse;Attribuut;tagNaam;Controleregel;Foutmelding;Verklaring;Request for Change;Oplossing
"036";"S";"";"";"";"";"Geboorteplaats gevolmachtigde moet ingevuld zijn.";"Geboorteplaats gevolmachtigde moet ingevuld zijn.";"Geboorteplaats gevolmachtigde moet ingevuld zijn.";"";"Geboorteplaats gevolmachtigde moet ingevuld zijn."
"034";"S";"";"";"";"";"Rubriek verplicht voor dit modeldocument.";"Rubriek verplicht voor dit modeldocument.";"Rubriek verplicht voor dit modeldocument.";"";"Rubriek verplicht voor dit modeldocument."
"035";"N";"";"";"";"";"Geboortedatum gevolmachtigde moet in het verleden liggen.";"Geboortedatum gevolmachtigde moet in het verleden liggen.";"Geboortedatum gevolmachtigde moet in het verleden liggen.";"";"Geboortedatum gevolmachtigde moet in het verleden liggen."
"033";"S";"";"";"";"";"Voornaam van de gevolmachtigde moet ingevuld zijn.";"Voornaam van de gevolmachtigde moet ingevuld zijn.";"Voornaam van de gevolmachtigde moet ingevuld zijn.";"";"Voornaam van de gevolmachtigde moet ingevuld zijn."
"GG319";"K";"AA UITV. AVAM";"AA UITV. AVAM";"";"";"AA UITV. AVAM";"AA UITV. AVAM";"AA UITV. AVAM";"";"AA UITV. AVAM"
"GG321";"K";"AA UITV. GEAUT.MUT.";"AA UITV. GEAUT.MUT.";"";"";"AA UITV. GEAUT.MUT.";"AA UITV. GEAUT.MUT.";"AA UITV. GEAUT.MUT.";"";"AA UITV. GEAUT.MUT."
"GG322";"K";"";"";"";"";"Kadaster fout bij Notis. Notis gaat deze fout oplossen door het FiNummer uit het XML-bestand te halen";"Kadaster fout bij Notis. Notis gaat deze fout oplossen door het FiNummer uit het XML-bestand te halen";"Kadaster fout bij Notis. Notis gaat deze fout oplossen door het FiNummer uit het XML-bestand te halen";"";"Kadaster fout bij Notis. Notis gaat deze fout oplossen door het FiNummer uit het XML-bestand te halen"
"GG323";"N";"";"";"";"";"De combinatie postcode/huisnummer klopt niet";"De combinatie postcode/huisnummer klopt niet";"";"";"De combinatie postcode/huisnummer klopt niet"
"LEV_1446";"k";"";"Rubriek niet toegestaan bij gezamenlijke toekomstige woonlocatie.";"";"";"Rubriek niet toegestaan bij gezamenlijke toekomstige woonlocatie.";"Rubriek niet toegestaan bij gezamenlijke toekomstige woonlocatie.";"";"";"Rubriek niet toegestaan bij gezamenlijke toekomstige woonlocatie."
"LEV_3011";"W";"";"Waarschuwing. Waarde  k_KoopprijsVariant  niet toegestaan als keuzetekst.";"";"";"Waarschuwing. Waarde  k_KoopprijsVariant  niet toegestaan als keuzetekst.";"Waarschuwing. Waarde  k_KoopprijsVariant  niet toegestaan als keuzetekst.";"";"";"Waarschuwing. Waarde  k_KoopprijsVariant  niet toegestaan als keuzetekst."
"LEV_3028";"W";"";"Tekstkeuze k_RegistergoedVolgnummerLidwoord mag niet  true  zijn als k_RegistergoedVolgnummer= false .";"";"";"Tekstkeuze k_RegistergoedVolgnummerLidwoord mag niet  true  zijn als k_RegistergoedVolgnummer= false .";"Tekstkeuze k_RegistergoedVolgnummerLidwoord mag niet  true  zijn als k_RegistergoedVolgnummer= false .";"Tekstkeuze k_RegistergoedVolgnummerLidwoord mag niet  true  zijn als k_RegistergoedVolgnummer= false .";"";"Tekstkeuze k_RegistergoedVolgnummerLidwoord mag niet  true  zijn als k_RegistergoedVolgnummer= false ."
"LEV_3029";"W";"";"Tekstkeuze k_RegistergoedVolgnummerTekst niet toegestaan als k_RegistergoedVolgnummer= false .";"";"";"Tekstkeuze k_RegistergoedVolgnummerTekst niet toegestaan als k_RegistergoedVolgnummer= false .";"Tekstkeuze k_RegistergoedVolgnummerTekst niet toegestaan als k_RegistergoedVolgnummer= false .";"";"";"Tekstkeuze k_RegistergoedVolgnummerTekst niet toegestaan als k_RegistergoedVolgnummer= false ."
"REC_002";"S";"";"Waarde  false  is niet toegestaan voor keuzetekst  k_Eigendom .";"";"";"Waarde  false  is niet toegestaan voor keuzetekst  k_Eigendom .";"Waarde  false  is niet toegestaan voor keuzetekst  k_Eigendom .";"";"";"Waarde  false  is niet toegestaan voor keuzetekst  k_Eigendom ."
"REG_007";"K";"";"Keuzetekst  k_Aanduiding  ontbreekt.";"";"";"Keuzetekst  k_Aanduiding  ontbreekt.";"Keuzetekst  k_Aanduiding  ontbreekt.";"";"";"Keuzetekst  k_Aanduiding  ontbreekt."
"hyp_wlu_078";"";"";"IMKAD_ZakelijkRecht/Luchtvaartuig";"";"";"Mag niet aanwezig / ingevuld zijn";"{Luchtvaartuig} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_wlu_078a";"";"";"IMKAD_ZakelijkRecht/Toedeling";"";"";"Mag niet aanwezig / ingevuld zijn";"{Toedeling} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_wlu_079";"";"";"IMKAD_WoonlocatiePersoon";"adres";"";"Mag 2 keer voorkomen indien het ene geval een binnenlandsAdres en het andere een kadBinnenlandsAdres betreft.";"{WoonlocatiePersoon} {vlgnr} {adres} {2800} {Fout} - Niet toegestane combinatie van adressen";"Consequentie voor MID:
Onjuiste adresgegevens worden getoond.
Consequentie voor opmaak:
Adresgegevens worden onjuist in de akte getoond.";"";""
"lev_039";"";"";"StukdeelKoopoptie";"";"";"Mag maximaal 1 keer voorkomen";"{StukdeelKoopoptie} {vlgnr} {alle} {2800} {Fout} - Maximaal 1 stukdeel koopoptie toegestaan";"Consequentie voor MID en opmaak:
StukdeelErfdienstbaarheid wordt niet correct getoond.";"";""
"lev_040";"";"";"StukdeelErfdienstbaarheid";"";"";"Mag maximaal 1 keer voorkomen";"{StukdeelErfdienstbaarheid} {vlgnr} {alle} {2800} {Fout} - Maximaal 1 stukdeel erfdienstbaarheid toegestaan";"Consequentie voor MID en opmaak:
StukdeelKwalitatieveVerplichting wordt niet correct getoond.";"";""
"lev_041";"";"";"StukdeelKwalitatieveVerplichting";"";"";"Mag maximaal 1 keer voorkomen";"{StukdeelKwalitatieveVerplichting} {vlgnr} {alle} {2800} {Fout} - Maximaal 1 stukdeel kwalitatieve verplichtingen toegestaan";"Consequentie voor MID en opmaak:
StukdeelMandeligheid wordt niet correct getoond.";"";""
"lev_041b";"";"";"StukdeelMandeligheid";"";"";"Mag maximaal 1 keer voorkomen";"{StukdeelMandeligheid} {vlgnr} {alle} {2800} {Fout} - Maximaal 1 stukdeel mandeligheid toegestaan";"Consequentie voor opmaak:
StukdeelKoop wordt niet correct getoond.";"";""
"hyp_flo_064";"";"";"IMKAD_WoonlocatiePersoon";"adres";"";"Mag 2 keer voorkomen indien het ene geval een binnenlandsAdres en het andere een kadBinnenlandsAdres betreft.";"{WoonlocatiePersoon} {vlgnr} {adres} {2800} {Fout} - Niet toegestane combinatie van adressen";"Consequentie voor MID:
Onjuiste adresgegevens worden getoond.
Consequentie voor opmaak:
Adresgegevens worden onjuist in de akte getoond.";"";""
"hyp_flo_065";"";"";"IMKAD_WoonlocatiePersoon/adres";"kadBinnenlandsAdres";"";"Mag alleen aanwezig zijn indien er een 2e voorkomen van adres aanwezig is.";"{adres} {vlgnr} {kadBinnenlandsAdres} {2800} {Fout} - Rubriek niet toegestaan indien binnenlandsAdres niet aanwezig is";"Consequentie voor opmaak:
De BAG gegevens worden niet getoond.
Consequentie voor MID:
Het type adres kan niet worden bepaald.";"";""
"hyp_ing_001";"W";"";"IMKAD_Aangeboden stuk";"tia_TekstKeuze";"";"Alleen de volgende waarden zijn toegestaan: k_Dagaanduiding, k_OndertekenaarPlaatsaanduiding, k_VerklaarderPlaatsaanduiding, k_TijdOndertekening, k_TitelHypotheek, k_WoonplaatsKeuze";"{AangebodenStuk} {vlgnr} {TekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";"Bug, in november release gefixt - bevinding AA-219"
"lev_028";"";"";"StukdeelLevering";"belanghebbendeRef";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelLevering} {vlgnr} {belanghebbende} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"lev_029";"";"";"StukdeelKoop";"belanghebbendeRef";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelKoop} {vlgnr} {belanghebbende} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"lev_030";"";"";"StukdeelKoopoptie";"belanghebbendeRef";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelKoopoptie} {vlgnr} {belanghebbende} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"lev_nn_090";"";"";"StukdeelErfdienstbaarheid/IMKAD_AantekeningKadastraalObject/tenLasteVan/IMKAD_Perceel/kadastraleAanduiding";"appartementsindex";"";"Mag niet aanwezig / ingevuld zijn";"{kadastraleAanduiding} {vlgnr} {appartementsindex} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"dhy_044";"";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon";"toekomstigAdres";"";"Mag niet aanwezig / ingevuld zijn";"{Persoon} {vlgnr} {toekomstigadres} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_aab_049c";"";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon";"tia_PartijOnderdeel";"";"Mag niet aanwezig / ingevuld zijn indien aanduidingPartij ongelijk aan  Aanduiding per persoon";"{Gerelateerd} {vlgnr} {PartijOnderdeel} {2800} {Waarschuwing} - Rubriek niet toegestaan indien aanduidingPartij ongelijk aan  aanduiding per persoon";"";"";""
"hyp_aab_050";"";"";"GerelateerdPersoon";"tia_IndPartij";"";"Behalve bestuurders mogen er geen personen zijn met deze indicatie op False";"{GerelateerdPersoon} {vlgnr} {IndPartij} {2800} {Teveel} - Personen moeten partij zijn, uitgezonderd bestuurder";"";"";""
"hyp_aab_051";"";"";"GerelateerdPersoon";"tekstKeuze";"";"Alleen de volgende waarde is toegestaan: k_BeideWonende";"{GerelateerdPersoon} {vlgnr} {tekstKeuze} {2800} {Teveel} - Waarde    niet toegestaan als keuzetekst";"";"";""
"hyp_aab_052";"";"";"GerelateerdPersoon";"IndGezamenlijkeWoonlocatie";"";"Mag niet aanwezig / ingevuld zijn bij een GerelateerdPersoon met rol <>  partner";"{GerelateerdPersoon} {vlgnr} {IndGezamenlijkeWoonlocatie} {2800} {Teveel} - Rubriek alleen toegestaan bij partner";"";"";""
"hyp_aab_052b";"";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon/GerelateerdPersoon";"IndGezamenlijkeWoonlocatie";"";"Moet ingevuld zijn bij een GerelateerdPersoon met rol <>  bestuurder";"{GerelateerdPersoon} {vlgnr} {IndGezamenlijkeWoonlocatie} {2800} {Fout} - Rubriek verplicht indien rol ongelijk bestuurder";"Consequentie voor registratie:
Het onjuiste adres kan bij de gerelateerde persoon worden geregistreerd.
Consequentie voor opmaak:
Het onjuiste adres kan bij de gerelateerde persoon worden vermeld in de akte.";"";""
"hyp_aab_053";"";"";"GerelateerdPersoon";"IndGezamenlijkeToekomstigeWoonlocatie";"";"Mag niet aanwezig / ingevuld zijn bij een GerelateerdPersoon met rol <>  partner";"{GerelateerdPersoon} {vlgnr} {IndGezamenlijkeToekomstigeWoonlocatie} {2800} {Teveel} - Rubriek alleen toegestaan bij partner";"";"";""
"hyp_aab_053b";"";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon/GerelateerdPersoon";"bevoegdheid";"";"Mag niet aanwezig / ingevuld zijn";"{GerelateerdPersoon} {vlgnr} {Bevoegdheid} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_aab_043c";"K";"";"IMKAD_ZakelijkRecht/IMKAD_Appartementsrecht";"tia_Tekstkeuze";"";"Mag niet aanwezig / ingevuld zijn";"{Appartementsrecht} {vlgnr} {TekstKeuze} {2800} {Teveel} - Rubriek niet toegestaan bij appartementsrecht";"Rubriek niet toegestaan bij appartementsrecht";"";"Rubriek niet toegestaan bij appartementsrecht"
"hyp_aab_043d";"S";"";"IMKAD_ZakelijkRecht/IMKAD_Perceel/IMKAD_OZLocatie";"ligging";"";"Moet ingevuld zijn";"{PerceelLocatie} {vlgnr} {ligging} {2800} {Fout} - Rubriek verplicht voor dit modeldocument";"Consequenties voor opmaak:
Tekst ( te ,  nabij  of  tegenover ) wordt niet vermeld in de akte.";"";"Consequenties voor opmaak:
Tekst ( te ,  nabij  of  tegenover ) wordt niet vermeld in de akte."
"hyp_aab_043e";"S";"";"IMKAD_ZakelijkRecht/IMKAD_Appartementsrecht/IMKAD_OZLocatie";"ligging";"";"Moet ingevuld zijn";"{AppartementsrechtLocatie} {vlgnr} {ligging} {2800} {Fout} - Rubriek verplicht voor dit modeldocument";"Consequenties voor opmaak:
Tekst ( te ,  nabij  of  tegenover ) wordt niet vermeld in de akte.";"";"Moet ingevuld zijn"
"hyp_aab_043f";"K";"";"IMKAD_Perceel";"tia_Tekstkeuze";"";"Indien k_Mandeligheid gevuld is, dan moet ook een perceel aanwezig zijn waarbij k_Mandeligheid niet gevuld is";"{Perceel} {vlgnr} {Mandeligheid} {2800} {Fout} - Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"Consequentie voor registratie:
Mandelig perceel wordt zonder hoofdperceel geregistreerd.";"";"Mandelig perceel wordt zonder hoofdperceel geregistreerd."
"com_005";"";"";"StukdeelRangwisseling";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelRangwisseling} {vlgnr} {alle} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"com_009";"";"";"IMKAD_Perceel";"IMKAD_Kadastrale aanduiding/ appartementsindex";"";"Mag niet aanwezig / ingevuld zijn";"{Perceel} {vlgnr} {appartementsindex} {2800} {Teveel} - Rubriek niet toegestaan bij perceel";"";"";""
"com_011";"";"";"Luchtvaartuig";"";"";"Mag niet aanwezig / ingevuld zijn";"{Luchtvaartuig} {vlgnr} {alle} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"com_012";"";"";"Schip";"";"";"Mag niet aanwezig / ingevuld zijn";"{Schip} {vlgnr} {alle} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"dhy_001";"";"";"Bericht_Tia_Stuk";"partnerSpecifiek";"";"Mag niet aanwezig / ingevuld zijn";"{Bericht_Tia_Stuk} {vlgnr} {partnerSpecifiek} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"j";"";""
"dhy_002";"K";"";"IMKAD_Persoon";"tia_Tekstkeuze";"";"Mag niet aanwezig / ingevuld zijn";"{Persoon} {vlgnr} {Tekstkeuze} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"j";"";"{Persoon} {vlgnr} {Tekstkeuze} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument"
"dhy_003";"K";"";"IMKAD_Aangeboden stuk";"tia_TekstKeuze";"";"Alleen de volgende waarde is toegestaan: k_Dagaanduiding";"{AangebodenStuk} {vlgnr} {TekstKeuze} {2800} {Teveel} - Waarde    niet toegestaan als keuzetekst";"";"";""
"dhy_004";"K";"";"IMKAD_Aangeboden stuk";"tia_Woonplaatskeuze";"";"Slechts 1 woonplaatskeuze toegestaan";"{AangebodenStuk} {vlgnr} {Woonplaatskeuze} {2800} {Teveel} - Tweede woonplaatskeuze niet toegestaan";"";"";""
"dhy_005";"K";"";"IMKAD_Aangeboden stuk";"tia_TekstTweedeDeel";"";"Mag niet aanwezig / ingevuld zijn";"{AangebodenStuk} {vlgnr} {TweedeDeel} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"GG019";"N";"";"";"";"";"Datum ondertekening moet in het verleden liggen.";"Datum ondertekening moet in het verleden liggen.";"";"";"Datum ondertekening moet in het verleden liggen."
"GG020";"S";"";"Niet toegestane teken in alfanumeriek veld. Er worden tekens gebruikt in een veld die niet zijn toegstaan";"";"";"Niet toegestane teken in alfanumeriek veld. Er worden tekens gebruikt in een veld die niet zijn toegstaan";"Niet toegestane teken in alfanumeriek veld. Er worden tekens gebruikt in een veld die niet zijn toegstaan";"";"";" Niet toegestane teken in alfanumeriek veld. Er worden tekens gebruikt in een veld die niet zijn toegstaan"
"hyp_rab_051";"";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon/GerelateerdPersoon";"tekstKeuze";"";"Alleen de volgende waarde is toegestaan: k_KeuzeblokVariant";"{GerelateerdPersoon} {vlgnr} {tekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"hyp_wlu_026";"";"";"StukdeelLevering";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelLevering} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_wlu_027";"";"";"StukdeelNotarieleVerklaring";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelNotarieleVerklaring} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_wlu_028";"";"";"StukdeelKoopoptie";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelKoopoptie} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"GG013";"K";"";"";"";"";"Kenmerk XML-PDF komen niet overeen";"Kenmerk XML-PDF komen niet overeen";"";"";"Kenmerk XML-PDF komen niet overeen. Er is een ander kenmerk in de XML opgegeven dan welke in de PDF staat."
"GG038";"";"AA Uitval Contr Ess";"";"";"";"AAConEs";"AAConEs";"";"";"AAConEs"
"GG015";"S";"";"";"";"";"Verschil PDF-XML kadastrale aanduiding. De Kadastrale aanduiding in de XML verschilt met de kadastrale aanduiding in de PDF";"Verschil PDF-XML kadastrale aanduiding. De Kadastrale aanduiding in de XML verschilt met de kadastrale aanduiding in de PDF";"";"";"Verschil PDF-XML kadastrale aanduiding. De Kadastrale aanduiding in de XML verschilt met de kadastrale aanduiding in de PDF"
"GG016";"K";"";"";"";"";"";"Standplaats onacceptabel voor waardelijst. De standplaats komt niet voor in de waardelijst";"";"";"Standplaats onacceptabel voor waardelijst. De standplaats komt niet voor in de waardelijst"
"lev_061c";"";"";"IMKAD_Persoon/tia_Gegevens/NHR_Rechtspersoon";"tia_StatutaireZetel";"";"Indien IMKAD_Persoon/tia_TekstKeuze/tagNaam (‘k_Kantoorhoudende’)/tekst(‘en aldaar kantoorhoudende aan’), dan moet tia_StatutaireZetel gelijk zijn aan IMKAD_Persoon//IMKAD_WoonlocatiePersoon/adres/binnenlandsAdres/woonplaatsNaam";"{Rechtspersoon} {vlgnr} {StatutaireZetel} {2800} {Fout} - Rubriek moet gelijk zijn aan woonplaatsnaam bij keuzetekst  aldaar kantoorhoudende";"Consequentie voor MID:
Onjuiste adresgegevens worden getoond.
Consequentie voor opmaak:
Adresgegevens worden onjuist in de akte getoond.";"";""
"hyp_aab_009";"";"";"IMKAD_AangebodenStuk/tia_Verklaarder";"verklaringBestuursorgaan";"";"Mag niet aanwezig / ingevuld zijn";"{Verklaarder} {vlgnr} {VerklaringBestuursorgaan} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_aab_009a";"W";"";"IMKAD_AangebodenStuk/tia_Verklaarder";"kadGegevensWaarnemerVoor";"";"Mag alleen aanwezig zijn wanneer waarnemerVoor ook aanwezig is";"{Verklaarder} {vlgnr} {kadGegevensWaarnemerVoor} {2800} {Waarschuwing} - Rubriek niet toegestaan indien waarnemerVoor ontbreekt";"";"";""
"dhy_029";"K";"";"IMKAD_AangebodenStuk/Gevolmachtigde/gegevens";"bevoegdheid";"";"Mag niet aanwezig / ingevuld zijn";"{Gevolmachtigde} {vlgnr} {Bevoegdheid} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"dhy_029b";"";"";"IMKAD_AangebodenStuk/Gevolmachtigde/gegevens";"adresPersoon";"";"Mag niet aanwezig / ingevuld zijn";"{Gevolmachtigde} {vlgnr} {adresPersoon} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"dhy_029c";"";"";"IMKAD_AangebodenStuk/Gevolmachtigde/gegevens";"legitimatiebewijs";"";"Mag niet aanwezig / ingevuld zijn";"{Gevolmachtigde} {vlgnr} {legitimatiebewijs} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"dhy_030";"K";"";"IMKAD_ZakelijkRecht";"tekstKeuze";"";"Mag niet aanwezig / ingevuld zijn";"{ZakelijkRecht} {vlgnr} {TekstKeuze} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"DHY oud";"Rubriek niet toegestaan voor dit modeldocument."
"dhy_031";"K";"";"IMKAD_ZakelijkRecht";"aardVerkregen";"";"Mag niet aanwezig / ingevuld zijn";"{ZakelijkRecht} {vlgnr} {AardVerkregen} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"Mag niet aanwezig / ingevuld zijn";"";"Mag niet aanwezig / ingevuld zijn"
"dhy_032";"K";"";"IMKAD_ZakelijkRecht";"tia_Aantal_BP_Rechten";"";"Mag niet aanwezig / ingevuld zijn";"{ZakelijkRecht} {vlgnr} {AantalBPRechten} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"{ZakelijkRecht} {vlgnr} {AantalBPRechten} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"{ZakelijkRecht} {vlgnr} {AantalBPRechten} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument"
"dhy_033";"";"";"IMKAD_ZakelijkRecht";"tia_BreukdeelOnverdeeld
Aandeel";"";"Mag niet aanwezig / ingevuld zijn";"{ZakelijkRecht} {vlgnr} {BreukdeelOnverdeeldAandeel} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"dhy_033b";"";"";"IMKAD_ZakelijkRecht";"tia_BedragKoopprijs";"";"Mag niet aanwezig / ingevuld zijn";"{ZakelijkRecht} {vlgnr} {BedragKoopprijs} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"dhy_034";"";"";"IMKAD_Aantekening
KadastraalObject";"";"";"Mag niet aanwezig / ingevuld zijn";"{AantekeningKadastraalObject} {vlgnr} {alle} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"dhy_035";"";"";"IMKAD_Aantekening";"";"";"Mag niet aanwezig / ingevuld zijn";"{Aantekening} {vlgnr} {alle} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_mon_044";"";"";"IMKAD_ZakelijkRecht/IMKAD_Leidingnetwerk";"IMKAD_Kadastrale aanduiding/ appartementsindex";"";"Mag niet aanwezig / ingevuld zijn";"{Leidingnetwerk} {vlgnr} {appartementsindex} {2800} {Waarschuwing} - Rubriek niet toegestaan bij leidingnetwerk";"";"";""
"hyp_mon_044b";"";"";"IMKAD_ZakelijkRecht/IMKAD_Leidingnetwerk";"tia_Tekstkeuze";"";"Mag niet aanwezig / ingevuld zijn";"{Leidingnetwerk} {vlgnr} {Tekstkeuze} {2800} {Waarschuwing} - Rubriek niet toegestaan bij leidingnetwerk";"";"";""
"hyp_mon_044c";"";"";"IMKAD_ZakelijkRecht/Toedeling";"";"";"Mag niet aanwezig / ingevuld zijn";"{Toedeling} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_mon_045";"";"";"IMKAD_OZLocatie";"";"";"Mag maximaal 1 maal voorkomen per onroerende zaak";"{OZLocatie} {vlgnr} {alle} {2800} {Fout} - Rubriek mag maar eenmaal voorkomen";"Consequentie voor opmaak:
Alle in de XML aanwezige locaties worden in de akte vermeld.";"";""
"hyp_mon_045b";"";"";"IMKAD_AangebodenStuk/Partij";"aanduidingPartij";"";"Alleen de volgende waarden zijn toegestaan: ‘de Schuldenaar en/of de Hypotheekgever’, ‘de Schuldenaar’, ‘de Hypotheekgever’,  Aanduiding  per persoon ,  Bank";"{Partij} {vlgnr} {Partijaanduiding} {2800} {Fout} - Waarde    niet toegestaan";"Consequentie voor opmaak:
In de akte kan een partij met een niet toegestane partijaanduiding worden getoond.";"";""
"hyp_mon_048";"";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon";"IMKAD_PostlocatiePersoon";"";"Bij een NP mag geen postadres aanwezig zijn";"{Persoon} {vlgnr} {postadres} {2800} {Fout} - Postadres niet toegestaan bij een NP";"Consequentie voor opmaak:
Postadres wordt indien in XML aanwezig in de akte getoond.
Consequentie voor registratie:
Postadres wordt indien in XML aanwezig ook geregistreerd.";"";""
"hyp_mon_049";"";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon";"tia_TekstKeuze";"";"Alleen de volgende waarde is toegestaan:   k_BurgerlijkeStaatTekst, k_BurgerlijkeStaatTekstPartners, k_Kantoorhoudende, k_KantoorhoudendeLidwoord, k_KvK, k_Statutair, k_VennootMaat, k_VoorZich, k_RolVennootMaat";"{Persoon} {vlgnr} {TekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"160";"N";"";"";"";"";"Object moet ingevuld zijn.";"Object moet ingevuld zijn.";"Object moet ingevuld zijn.";"";"IMKAD_ZakelijkRecht 160|Object moet ingevuld zijn."
"PB003";"N";"";"";"";"";"Fout: Stuk als bijlage bij besluit";"Het stuk hoort aangeboden te worden met het besluit als bijlage hieraan toegevoegd.";"";"";"Het stuk hoort aangeboden te worden met het besluit als bijlage hieraan toegevoegd."
"GG257";"K";"WPK";"";"";"";"Woonplaatskeuze staat in het het 2e deel, deze dient geplaatst te worden in het 1e deel.";"Woonplaatskeuze staat in het het 2e deel, deze dient geplaatst te worden in het 1e deel.";"";"";"Woonplaatskeuze staat in het het 2e deel, deze dient geplaatst te worden in het 1e deel."
"GG258";"K";"";"";"";"";"Datum ondertekening moet in het verleden liggen.";"Datum ondertekening moet in het verleden liggen.";"";"";"Datum ondertekening moet in het verleden liggen."
"hyp_par_041";"";"";"IMKAD_ZakelijkRecht";"tia_TekstKeuze";"";"Alleen de volgende waarden zijn toegestaan: k_NaderTeOmschrijven, k_Eigendom, k_VoorlopigeGrenzen";"{ZakelijkRecht} {vlgnr} {TekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"hyp_par_042";"";"";"IMKAD_ZakelijkRecht";"tia_Aantal_BP_Rechten";"";"Mag alleen ingevuld zijn als aardVerkregen =  EIGENDOM BELAST MET ZAKELIJK RECHT ALS BEDOELD IN ART.5,LID 3,ONDER B, VAN DE BELEMMERINGENWET PRIVAATRECHT";"{ZakelijkRecht} {vlgnr} {AantalBPRechten} {2800} {Waarschuwing} - Aantal BP-rechten niet toegestaan bij gekozen aard zakelijk recht";"";"";""
"hyp_par_043";"";"";"IMKAD_ZakelijkRecht";"tia_BreukdeelOnverdeeld
Aandeel";"";"Mag niet aanwezig / ingevuld zijn";"{ZakelijkRecht} {vlgnr} {BreukdeelOnverdeeldAandeel} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_par_044";"";"";"IMKAD_ZakelijkRecht";"aandeelInRecht";"";"Mag niet aanwezig / ingevuld zijn";"{ZakelijkRecht} {vlgnr} {AandeelInRecht} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
